S-Fe mol,Pollutant Con,S-nZVI Con,Temp,pH,SMILES,Kob
0.2,20,0.5,20,9,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.126
0.5,14.4518,2,26,7,C(=C(Cl)Cl)Cl,1.3
0.05,50,0.5,25,8,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],0.876
0.0632,3,0.5,30,8,C(Cl)(Cl)(Cl)Cl,1.254
0.1,20,1.2,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.003132
0.2,1,0.5,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.309
0.12,20,2.3,25,7,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.047727
0.51,10,2.3,25,7,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.328
0.51,20,2.3,25,7,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.315
0.2,10,0.5,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.239
0.2,20,0.5,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.074
0.51,20,1.2,25,7,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.112
0.071,14.4518,2,22,7,C(=C(Cl)Cl)Cl,0.36
0.3,20,1.2,25,5,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.17
0.2,5,0.5,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.286
0.3,20,0.9,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.0615
0.2,20,0.5,20,5,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.176
0.51,20,0.6,25,7,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.085135
0.3,20,0.6,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.033
0.14,0.24,1,25,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,1.425
0.03,14.4518,2,22,7,C(=C(Cl)Cl)Cl,0.303
0.188,10.5112,2,26,7,C(=C(Cl)Cl)Cl,1.03
0.0632,3,0.5,30,7,C(Cl)(Cl)(Cl)Cl,1.11
0.2,2,4,25,8,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br  ,1.038
0.2,20,0.5,20,3,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.078
0.2,20,0.1,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.018
0.2,20,1,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.198
0.0632,3,0.5,30,7,C(Cl)(Cl)(Cl)Cl,1.056
0.3,20,0.3,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.0206
0.3,20,1.2,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.123
